NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,202507,8,"21,000",-,3,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,-
2,제주특별자치도 서귀포시 중문동,1802,1802,0,포레나제주중문,84.9685,202507,8,"60,000",-,7,개인,개인,2023,중문상로82번길 45,-,중개거래,제주 서귀포시,-
3,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202507,8,"51,500",-,2,개인,개인,2013,화삼로 12,-,중개거래,제주 제주시,-
4,제주특별자치도 서귀포시 남원읍 남원리,75-4,75,4,엘루체2차,66.4251,202507,7,"23,390",-,3,개인,개인,2014,남원회관로 97,-,중개거래,제주 서귀포시,-
5,제주특별자치도 제주시 노형동,2583-1,2583,1,노형뜨란채,75.1800,202507,7,"54,300",-,7,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,-
6,제주특별자치도 제주시 이도일동,1258-1,1258,1,장원스카이팰리스,120.0450,202507,7,"49,000",-,17,개인,개인,2013,동광로3길 3,-,중개거래,제주 제주시,-
7,제주특별자치도 서귀포시 서홍동,1589-1,1589,1,서홍캐슬휘닉스아파트,84.2386,202507,6,"30,000",-,1,개인,개인,2015,서홍로178번길 49,-,중개거래,제주 서귀포시,-
8,제주특별자치도 제주시 삼양이동,2135-2,2135,2,삼양더힐링빌,36.8575,202507,6,"19,000",-,9,개인,개인,2016,설촌로2길 30,-,중개거래,제주 제주시,-
9,제주특별자치도 제주시 이도일동,1688-9,1688,9,극동오벨리스크,111.1300,202507,5,"36,000",-,9,개인,개인,2008,서광로29길 38,-,중개거래,제주 제주시,-
10,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202507,5,"30,500",-,4,개인,개인,1993,천수로 72,-,중개거래,제주 제주시,-
11,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202507,5,"30,500",-,4,개인,개인,1993,천수로 72,20250707,중개거래,제주 제주시,-
12,제주특별자치도 제주시 노형동,2583-1,2583,1,노형뜨란채,84.0900,202507,4,"53,500",-,1,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,-
13,제주특별자치도 제주시 외도일동,463-13,463,13,아모르102,49.9224,202507,4,"15,000",-,2,개인,개인,2013,우령6길 15-5,-,중개거래,제주 제주시,-
14,제주특별자치도 서귀포시 남원읍 남원리,1273,1273,0,남원솔내음,79.3488,202507,4,"29,250",-,7,개인,개인,2018,남원중앙로 36,-,중개거래,제주 서귀포시,-
15,제주특별자치도 제주시 연동,300-3,300,3,남해오네뜨,22.3600,202507,3,"12,000",-,6,개인,개인,2019,삼무로11길 9,-,직거래,-,-
16,제주특별자치도 제주시 연동,1399-1,1399,1,대림이편한세상2차,119.2960,202507,3,"114,000",-,12,개인,개인,2002,연화로 25,-,중개거래,제주 제주시,-
17,제주특별자치도 제주시 이도이동,1961-6,1961,6,지산16차위더스빌,84.5200,202507,3,"47,500",-,5,개인,개인,2011,신설로9길 12-7,-,중개거래,제주 제주시,-
18,제주특별자치도 제주시 애월읍 하귀1리,166-1,166,1,제주하귀휴먼시아2단지,84.8500,202507,2,"42,000",-,10,개인,개인,2010,하귀9길 71,-,중개거래,제주 제주시,-
19,제주특별자치도 제주시 연동,300-3,300,3,남해오네뜨,22.3600,202507,2,"13,000",-,2,개인,개인,2019,삼무로11길 9,-,직거래,-,25.07.02
20,제주특별자치도 제주시 도남동,82-3,82,3,까사펠리스,84.9200,202507,2,"37,000",-,2,개인,개인,2017,도남로 89,-,중개거래,제주 제주시,-
21,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,202507,2,"17,200",-,2,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,-
22,제주특별자치도 제주시 아라일동,6142-13,6142,13,염광,46.3200,202507,2,"21,000",-,1,개인,개인,1990,인다15길 5-6,-,중개거래,제주 제주시,-
23,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,202507,2,"17,200",-,2,개인,개인,1999,중산간동로 8002,20250703,중개거래,제주 서귀포시,-
24,제주특별자치도 서귀포시 안덕면 화순리,2133,2133,0,서귀포화순코아루푸르나임,84.9455,202507,1,"29,200",-,5,개인,개인,2017,화순중앙로12번길 39,-,중개거래,제주 서귀포시,-
25,제주특별자치도 제주시 외도일동,463-13,463,13,아모르102,49.9704,202507,1,"15,000",-,2,개인,개인,2013,우령6길 15-5,-,중개거래,제주 제주시,-
26,제주특별자치도 제주시 조천읍 조천리,1369-1,1369,1,에스턴힐,78.6941,202507,1,"26,700",-,6,개인,법인,2020,조천10길 42,-,중개거래,제주 제주시,-
27,제주특별자치도 서귀포시 중문동,1726,1726,0,e편한세상중문,84.9875,202507,1,"45,000",-,6,개인,개인,2021,일주서로731번길 10,-,중개거래,제주 서귀포시,-
28,제주특별자치도 서귀포시 서호동,1545,1545,0,HausD블루오션,84.9400,202506,30,"42,000",-,12,개인,개인,2015,서호남로 92-16,-,중개거래,제주 서귀포시,-
29,제주특별자치도 제주시 외도일동,400-7,400,7,아이진,84.8700,202506,30,"28,000",-,8,개인,개인,2011,수정2길 24,-,중개거래,제주 제주시,-
30,제주특별자치도 제주시 연동,273-43,273,43,제주연동리슈빌디에스,27.2323,202506,30,"12,000",-,11,개인,개인,2018,노연로 103,-,중개거래,제주 제주시,25.07.02
31,제주특별자치도 제주시 도남동,811,811,0,도남해모로리치힐아파트,84.9908,202506,30,"67,500",-,4,개인,개인,2019,도남서길 14,-,중개거래,제주 제주시,-
32,제주특별자치도 서귀포시 서홍동,299-1,299,1,"태봉그린피아(101,102,103동)",36.6461,202506,29,"9,500",-,7,개인,개인,2002,홍중로 92,-,중개거래,제주 서귀포시,-
33,제주특별자치도 서귀포시 중문동,1789,1789,0,중문푸른마을,59.9700,202506,28,"20,000",104,4,개인,개인,2003,천제연로 239,-,직거래,-,25.07.04
34,제주특별자치도 제주시 연동,2319-5,2319,5,연동대일,84.9000,202506,28,"26,500",-,2,개인,개인,1991,성신로 16,-,중개거래,제주 제주시,-
35,제주특별자치도 서귀포시 중문동,1789,1789,0,중문푸른마을,51.8800,202506,27,"19,000",-,4,개인,개인,2003,천제연로 239,-,중개거래,제주 서귀포시,-
36,제주특별자치도 제주시 화북이동,117,117,0,제주삼화엘에이치2단지,84.9500,202506,27,"58,000",-,8,개인,개인,2014,화삼로 32,-,중개거래,제주 제주시,-
37,제주특별자치도 제주시 연동,314-90,314,90,고정아파트,84.9800,202506,27,"49,500",-,4,개인,개인,2016,선덕로 26,-,중개거래,제주 제주시,-
38,제주특별자치도 제주시 도두일동,2614,2614,0,블루파크시티,21.2369,202506,26,"12,900",-,6,공공기관,법인,2018,도두항서길 41,-,직거래,-,25.06.30
39,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,202506,26,"19,300",-,3,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,-
40,제주특별자치도 제주시 도련이동,548,548,0,제주삼화사랑으로부영1차,84.3616,202506,26,"51,500",-,7,개인,개인,2013,화삼북로 136,-,중개거래,제주 제주시,-
41,제주특별자치도 서귀포시 동홍동,1369,1369,0,동홍동센트레빌,84.9196,202506,26,"45,800",-,5,개인,개인,2021,중앙로182번길 40,-,중개거래,제주 서귀포시,-
42,제주특별자치도 제주시 도두일동,2614,2614,0,블루파크시티,24.8006,202506,26,"12,900",-,6,공공기관,법인,2018,도두항서길 41,-,직거래,-,25.06.30
43,제주특별자치도 제주시 도두일동,2614,2614,0,블루파크시티,21.2369,202506,26,"12,900",-,6,공공기관,법인,2018,도두항서길 41,-,직거래,-,25.06.30
44,제주특별자치도 제주시 도두일동,2614,2614,0,블루파크시티,21.2369,202506,26,"12,900",-,5,공공기관,법인,2018,도두항서길 41,-,직거래,-,25.06.30
45,제주특별자치도 제주시 도두일동,2614,2614,0,블루파크시티,21.2369,202506,26,"12,900",-,7,공공기관,법인,2018,도두항서길 41,-,직거래,-,25.06.30
46,제주특별자치도 서귀포시 강정동,175-2,175,2,스마트하이빌,23.8950,202506,26,"9,000",-,3,법인,개인,2013,신중남로 1,-,직거래,-,25.06.26
47,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202506,26,"45,000",-,12,개인,개인,2016,대청로 12,-,직거래,-,-
48,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,132.7910,202506,26,"76,500",-,1,개인,개인,1997,남광로 181,-,중개거래,제주 제주시,-
49,제주특별자치도 제주시 아라일동,6121,6121,0,아라아이파크,133.4998,202506,25,"98,000",-,3,개인,개인,2013,인다1길 20,-,중개거래,제주 제주시,-
50,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202506,25,"52,000",203,7,개인,개인,2013,화삼로 12,-,중개거래,제주 제주시,25.07.02
51,제주특별자치도 제주시 화북이동,3489,3489,0,아뜨리움화북,69.6756,202506,24,"27,500",-,6,개인,개인,2018,연삼로 708-12,-,중개거래,제주 제주시,-
52,제주특별자치도 제주시 연동,2332-17,2332,17,도령해든빌,21.7292,202506,24,"6,200",-,2,개인,개인,2011,도령로 127-1,-,직거래,-,25.06.24
53,제주특별자치도 제주시 이도일동,1539-7,1539,7,제이시티팰리스,72.6400,202506,24,"33,000",-,7,개인,개인,2021,고전길 38,-,중개거래,제주 제주시,-
54,제주특별자치도 제주시 일도이동,113-1,113,1,일도수선화,49.0600,202506,24,"20,500",-,3,개인,개인,1993,연삼로 560-1,-,중개거래,제주 제주시,-
55,제주특별자치도 제주시 건입동,940-3,940,3,현대,67.9300,202506,23,"27,500",-,3,개인,개인,1993,만덕로3길 26,-,중개거래,제주 제주시,-
56,제주특별자치도 제주시 연동,314-52,314,52,지산18차위더스빌,84.8900,202506,22,"44,000",-,2,개인,개인,2012,선덕로 22,-,중개거래,제주 제주시,-
57,제주특별자치도 제주시 외도일동,445-5,445,5,외도탐나지오,68.3550,202506,22,"37,000",-,10,개인,개인,2021,우정로6길 6,-,중개거래,제주 제주시,-
58,제주특별자치도 제주시 일도일동,1048-8,1048,8,일도조양상떼빌,84.9300,202506,22,"26,000",-,2,개인,개인,2005,성지로 73,20250623,중개거래,제주 제주시,-
59,제주특별자치도 제주시 화북일동,1965-5,1965,5,정우빌리지2차,84.9400,202506,22,"27,500",-,4,개인,개인,2012,진남로4길 8-5,-,중개거래,제주 제주시,25.07.01
60,제주특별자치도 제주시 일도일동,1048-8,1048,8,일도조양상떼빌,84.9300,202506,22,"26,000",-,2,개인,개인,2005,성지로 73,-,중개거래,제주 제주시,-
61,제주특별자치도 제주시 일도일동,1048-8,1048,8,일도조양상떼빌,84.9300,202506,22,"26,000",-,2,개인,개인,2005,성지로 73,20250622,중개거래,제주 제주시,-
62,제주특별자치도 제주시 연동,314-52,314,52,지산18차위더스빌,84.8900,202506,22,"44,000",-,2,개인,개인,2012,선덕로 22,20250627,중개거래,제주 제주시,-
63,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,84.9450,202506,21,"41,000",-,4,개인,개인,1997,남광로 181,-,중개거래,제주 제주시,-
64,제주특별자치도 서귀포시 서홍동,305-2,305,2,지오빌Ⅱ-2차,84.3708,202506,21,"35,000",203,4,개인,개인,2013,중앙로 189,-,중개거래,제주 서귀포시,25.06.27
65,제주특별자치도 제주시 삼양이동,2312,2312,0,엔에이치에프제주삼화1단지,59.9800,202506,21,"42,500",-,5,개인,개인,2017,화삼북로 87,-,중개거래,제주 제주시,-
66,제주특별자치도 제주시 삼도이동,602-1,602,1,아이린5차,84.3900,202506,20,"40,500",-,7,개인,법인,2018,전농로9길 27,-,중개거래,제주 제주시,-
67,제주특별자치도 제주시 도련일동,1909,1909,0,제주삼화사랑으로부영7차,84.9933,202506,20,"57,300",-,2,개인,개인,2015,화삼북로 90,-,중개거래,제주 제주시,-
68,제주특별자치도 제주시 연동,1399,1399,0,대림이편한세상1차,75.0140,202506,20,"69,000",-,5,개인,개인,2001,국기로 14,-,중개거래,제주 제주시,-
69,제주특별자치도 제주시 도련일동,1789-2,1789,2,미듬하나로(도련),54.4124,202506,20,"17,000",미듬하나로아파트 나동,3,개인,개인,2002,삼봉로 115-1,-,직거래,-,25.06.20
70,제주특별자치도 서귀포시 동홍동,149-1,149,1,덕산캐슬,84.9457,202506,20,"24,000",102,6,개인,개인,2008,태평로 529-6,-,직거래,-,25.06.20
71,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,79.8510,202506,20,"41,300",제주대유대림아파트 312,5,개인,개인,1997,남광로 181,-,중개거래,제주 제주시,25.07.02
72,제주특별자치도 제주시 도련이동,548,548,0,제주삼화사랑으로부영1차,73.9049,202506,19,"46,300",-,11,개인,개인,2013,화삼북로 136,-,중개거래,제주 제주시,-
73,제주특별자치도 제주시 노형동,731-2,731,2,한화,108.4439,202506,19,"94,000",-,9,개인,개인,2002,원노형로 102,20250620,중개거래,제주 제주시,-
74,제주특별자치도 제주시 노형동,731-2,731,2,한화,108.4439,202506,19,"94,000",-,9,개인,개인,2002,원노형로 102,-,중개거래,제주 제주시,-
75,제주특별자치도 서귀포시 토평동,175,175,0,"토평반석타운(가동,나동)",42.2624,202506,19,"8,100",-,1,개인,개인,2000,중산간동로 7678,-,중개거래,제주 서귀포시,-
76,제주특별자치도 제주시 이도이동,777,777,0,주공3,39.3000,202506,19,"34,500",-,1,개인,개인,1989,구남로 31,-,중개거래,제주 제주시,-
77,제주특별자치도 제주시 애월읍 하귀1리,44-5,44,5,하귀올레,80.6900,202506,18,"29,000",-,1,개인,개인,2017,하귀1길 15,-,직거래,-,-
78,제주특별자치도 서귀포시 서귀동,202-21,202,21,바원에스클래스,75.4000,202506,18,"26,200",-,8,개인,개인,2020,명동로 45,-,직거래,-,-
79,제주특별자치도 제주시 월평동,747,747,0,제주첨단꿈에그린3단지아파트,84.7938,202506,18,"48,700",-,3,개인,개인,2018,첨단로동길 106,-,중개거래,제주 제주시,-
80,제주특별자치도 제주시 삼도이동,941,941,0,미듬밀레니엄,114.5400,202506,18,"26,000",-,12,개인,개인,2001,중앙로12길 34,-,중개거래,제주 제주시,-
81,제주특별자치도 제주시 삼양이동,2312,2312,0,엔에이치에프제주삼화1단지,59.9700,202506,18,"44,000",-,6,개인,개인,2017,화삼북로 87,-,중개거래,제주 제주시,-
82,제주특별자치도 서귀포시 대정읍 하모리,1221-1,1221,1,더그라벨아파트,57.1300,202506,18,"18,000",-,4,개인,법인,2019,신영로 5,-,중개거래,제주 서귀포시,-
83,제주특별자치도 서귀포시 성산읍 고성리,1618-1,1618,1,"진우파크빌(101,102동)",59.8944,202506,18,"15,000",(101동),2,개인,개인,2001,서성일로 1186-6,-,직거래,-,25.06.23
84,제주특별자치도 제주시 노형동,3779-5,3779,5,인텔리젼트한빛,84.1190,202506,18,"37,800",-,6,개인,법인,2004,1100로 3349,-,중개거래,제주 제주시,-
85,제주특별자치도 제주시 화북일동,12-1,12,1,화북주공4단지,59.9300,202506,17,"30,000",404,6,개인,개인,1998,동화로1길 10,-,직거래,-,25.06.19
86,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,84.8900,202506,17,"31,000",-,3,개인,개인,2016,중문상로82번길 15,-,중개거래,제주 서귀포시,-
87,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202506,17,"51,000",-,6,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,-
88,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202506,17,"51,000",-,6,개인,개인,2017,첨단로동길 74,20250618,중개거래,제주 제주시,-
89,제주특별자치도 제주시 일도이동,46,46,0,일도2차신천지,59.9800,202506,17,"25,500",-,6,개인,개인,1994,천수로 92,-,중개거래,제주 제주시,-
90,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202506,17,"30,000",203,3,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.07.01
91,제주특별자치도 제주시 연동,1399-1,1399,1,대림이편한세상2차,119.2960,202506,16,"110,000",201,2,개인,개인,2002,연화로 25,-,중개거래,제주 제주시,25.06.30
92,제주특별자치도 제주시 연동,292-4,292,4,연동휴레스트2차,41.2600,202506,16,"15,100",-,7,개인,개인,2014,은남1길 22,-,중개거래,제주 제주시,-
93,제주특별자치도 제주시 이도일동,1664-4,1664,4,광양미화,84.4600,202506,16,"18,000",-,1,개인,개인,1991,광양4길 22,-,중개거래,제주 제주시,-
94,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.8960,202506,16,"21,300",101,5,개인,개인,2000,우정로11길 22,-,직거래,-,25.06.27
