전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
84.345,2016-12,31,1992,275000000,2016,12,제주시,아라일동
59.8575,2016-12,31,2014,233000000,2016,12,제주시,오라이동
84.75,2016-12,31,2016,281000000,2016,12,제주시,외도일동
68.58,2016-12,31,1990,245000000,2016,12,제주시,아라일동
84.95,2016-12,30,2014,465000000,2016,12,제주시,화북이동
80.6583,2016-12,30,2001,425000000,2016,12,제주시,노형동
45.9078,2016-12,30,2001,300000000,2016,12,제주시,노형동
59.94,2016-12,30,1992,114000000,2016,12,서귀포시,서홍동
133.18,2016-12,30,2011,380000000,2016,12,제주시,외도일동
84.95,2016-12,30,2015,240000000,2016,12,서귀포시,동홍동
175.71,2016-12,30,2011,875000000,2016,12,제주시,이도이동
27.3,2016-12,30,2013,85000000,2016,12,서귀포시,강정동
59.93,2016-12,29,1998,246000000,2016,12,제주시,화북일동
45.9078,2016-12,29,2001,299000000,2016,12,제주시,노형동
46.32,2016-12,29,1990,187000000,2016,12,제주시,아라일동
101.4,2016-12,29,1995,240000000,2016,12,제주시,노형동
39.79,2016-12,29,1999,151000000,2016,12,서귀포시,동홍동
49.87,2016-12,29,1999,183000000,2016,12,서귀포시,동홍동
49.87,2016-12,29,1999,180000000,2016,12,서귀포시,동홍동
84.14,2016-12,29,2005,170000000,2016,12,제주시,이도일동
84.9508,2016-12,28,2001,480000000,2016,12,제주시,노형동
84.15,2016-12,28,1984,196000000,2016,12,제주시,일도이동
84.3616,2016-12,28,2013,430000000,2016,12,제주시,화북이동
84.9233,2016-12,28,2016,343000000,2016,12,제주시,이도일동
71.69,2016-12,28,1994,187500000,2016,12,제주시,도남동
59.93,2016-12,28,1998,240000000,2016,12,제주시,화북일동
84.9508,2016-12,28,2001,530000000,2016,12,제주시,노형동
31.86,2016-12,27,2012,115000000,2016,12,제주시,연동
39.3,2016-12,27,1988,120000000,2016,12,서귀포시,동홍동
62.9884,2016-12,27,2002,140000000,2016,12,서귀포시,강정동
80.05,2016-12,27,2016,230000000,2016,12,서귀포시,대정읍
59.8575,2016-12,27,2014,246000000,2016,12,제주시,오라이동
60.8541,2016-12,27,2013,200000000,2016,12,서귀포시,동홍동
39.84,2016-12,27,2000,140000000,2016,12,제주시,외도일동
59.34,2016-12,27,1993,163000000,2016,12,제주시,건입동
114.21,2016-12,27,2001,280000000,2016,12,제주시,노형동
28.62,2016-12,27,2012,96000000,2016,12,제주시,연동
36.5141,2016-12,27,2015,142000000,2016,12,서귀포시,서호동
84.87,2016-12,27,2001,235000000,2016,12,제주시,삼도이동
74.798,2016-12,26,2015,220000000,2016,12,서귀포시,동홍동
84.259,2016-12,26,2009,256000000,2016,12,제주시,이도이동
19.61,2016-12,26,2014,92000000,2016,12,제주시,이도이동
36.5141,2016-12,26,2015,143000000,2016,12,서귀포시,서호동
84.32,2016-12,26,2016,245000000,2016,12,서귀포시,대정읍
84.9297,2016-12,26,2016,294000000,2016,12,서귀포시,강정동
53.89,2016-12,26,1992,167000000,2016,12,제주시,도남동
84.9297,2016-12,26,2016,329000000,2016,12,서귀포시,강정동
67.93,2016-12,26,1993,120000000,2016,12,제주시,건입동
84.9973,2016-12,26,2012,565000000,2016,12,제주시,아라일동
35.28,2016-12,26,1990,55000000,2016,12,서귀포시,보목동
76.594,2016-12,26,2012,267000000,2016,12,서귀포시,서홍동
81.45,2016-12,26,1998,165000000,2016,12,서귀포시,동홍동
49.87,2016-12,26,1999,195000000,2016,12,서귀포시,동홍동
52.32,2016-12,26,1992,158000000,2016,12,제주시,도남동
84.75,2016-12,26,1992,200000000,2016,12,제주시,용담이동
120.9434,2016-12,25,2006,640000000,2016,12,제주시,노형동
49.5,2016-12,24,1998,199000000,2016,12,제주시,화북일동
84.953,2016-12,24,2001,580000000,2016,12,제주시,노형동
59.99,2016-12,24,2003,220000000,2016,12,서귀포시,중문동
59.93,2016-12,24,1998,250000000,2016,12,제주시,화북일동
59.97,2016-12,24,2003,239000000,2016,12,서귀포시,중문동
49.87,2016-12,23,1999,183000000,2016,12,서귀포시,동홍동
120.9434,2016-12,23,2006,590000000,2016,12,제주시,노형동
84.84,2016-12,23,2010,360000000,2016,12,제주시,애월읍
84.84,2016-12,23,2010,420000000,2016,12,제주시,애월읍
84.94,2016-12,23,2013,370000000,2016,12,서귀포시,서호동
84.13,2016-12,23,2014,320000000,2016,12,제주시,오라이동
84.23,2016-12,23,2011,250000000,2016,12,서귀포시,서귀동
22.535,2016-12,23,2011,70000000,2016,12,제주시,연동
50.7,2016-12,22,1994,157000000,2016,12,서귀포시,동홍동
83.9028,2016-12,22,2011,285000000,2016,12,서귀포시,서홍동
84.95,2016-12,22,2014,470000000,2016,12,제주시,화북이동
77.02,2016-12,22,1994,200000000,2016,12,제주시,일도이동
75.62,2016-12,22,2004,110000000,2016,12,서귀포시,대정읍
59.94,2016-12,22,1992,173000000,2016,12,제주시,도남동
42.579,2016-12,21,2012,150000000,2016,12,제주시,연동
84.9992,2016-12,21,2013,552000000,2016,12,제주시,아라일동
84.95,2016-12,21,2014,429000000,2016,12,제주시,화북이동
39.89,2016-12,21,1993,85000000,2016,12,제주시,도남동
59.97,2016-12,21,2003,250000000,2016,12,서귀포시,중문동
49.87,2016-12,21,1999,191000000,2016,12,서귀포시,동홍동
46.2,2016-12,21,1995,138500000,2016,12,제주시,노형동
46.32,2016-12,20,1990,190000000,2016,12,제주시,아라일동
71.61,2016-12,20,1994,181000000,2016,12,제주시,도남동
84.7883,2016-12,20,2016,280000000,2016,12,서귀포시,동홍동
