NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 연동,308-2,308,2,울담뜨레빌3차,52.2000,202012,31,"18,800",-,8,-,-,2011,비월길 26,-,-,-,-
2,제주특별자치도 제주시 연동,251-38,251,38,제원3차,70.3900,202012,31,"44,000",-,3,-,-,1979,신광로6길 38,-,-,-,-
3,제주특별자치도 제주시 노형동,754-3,754,3,부영3차,84.9508,202012,31,"50,000",-,9,-,-,2001,과원로 27,-,-,-,-
4,제주특별자치도 제주시 도련이동,645-6,645,6,제일일출,81.2100,202012,31,"17,300",-,3,-,-,2002,매촌서1길 28,-,-,-,-
5,제주특별자치도 서귀포시 동홍동,355-1,355,1,주공4(동홍주공4),50.7000,202012,31,"13,500",-,3,-,-,1994,태평로512번길 10,-,-,-,-
6,제주특별자치도 제주시 외도일동,448-1,448,1,외도타워,84.7576,202012,31,"28,500",-,4,-,-,2013,절물2길 8-7,-,-,-,-
7,제주특별자치도 제주시 건입동,940-3,940,3,현대,84.7200,202012,31,"25,500",-,6,-,-,1993,만덕로3길 26,-,-,-,-
8,제주특별자치도 제주시 도련이동,548,548,0,제주삼화사랑으로부영1차,73.9049,202012,31,"33,500",-,1,-,-,2013,화삼북로 136,-,-,-,-
9,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.7758,202012,31,"42,000",-,5,-,-,2013,화삼로 12,-,-,-,-
10,제주특별자치도 서귀포시 서귀동,285-18,285,18,서귀포의꿈,49.6800,202012,31,"15,000",-,5,-,-,2014,동문로 13-1,-,-,-,-
11,제주특별자치도 서귀포시 중문동,2433-2,2433,2,중문미듬하나로,53.8513,202012,30,"9,300",-,5,-,-,2002,천제연로232번길 18-5,-,-,-,-
12,제주특별자치도 서귀포시 서홍동,2004-1,2004,1,서홍반석타운,35.9400,202012,30,"7,700",-,4,-,-,2000,현청로 41-14,-,-,-,-
13,제주특별자치도 제주시 도남동,88-7,88,7,탐라맨션(나동),82.4200,202012,30,"11,800",-,5,-,-,1991,도남로9길 9-6,-,-,-,-
14,제주특별자치도 서귀포시 안덕면 화순리,2133,2133,0,서귀포화순코아루푸르나임,84.9455,202012,30,"26,900",-,5,-,-,2017,화순중앙로12번길 39,-,-,-,-
15,제주특별자치도 제주시 연동,2325-6,2325,6,타워프로빌,138.1400,202012,30,"58,200",-,18,-,-,2010,도령로 95,-,-,-,-
16,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,84.9921,202012,30,"45,000",-,7,-,-,2017,대청로 34,-,-,-,-
