NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 중문동,1999-2,1999,2,민우중문,59.7000,202207,9,"12,500",-,2,-,-,1993,천제연로213번길 14-3,20220721,중개거래,제주 서귀포시,-
2,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,84.9450,202207,9,"58,300",-,2,-,-,1997,남광로 181,-,중개거래,제주 제주시,-
3,제주특별자치도 제주시 노형동,2532-11,2532,11,수덕,83.7300,202207,8,"14,000",-,5,-,-,1991,수덕5길 54,-,직거래,-,-
4,제주특별자치도 서귀포시 동홍동,157,157,0,동홍동코아루,70.4929,202207,8,"35,000",-,6,-,-,2013,일주동로 8565,-,중개거래,제주 서귀포시,-
5,제주특별자치도 제주시 이도이동,1909-74,1909,74,명주2차,59.6900,202207,8,"19,500",-,4,-,-,1993,독짓골8길 57,-,직거래,-,-
6,제주특별자치도 제주시 연동,2307-4,2307,4,연동정한,84.7800,202207,8,"21,000",-,3,-,-,1992,일주서로 7882,-,직거래,-,-
7,제주특별자치도 서귀포시 대정읍 하모리,1440-6,1440,6,유성아트빌,80.6600,202207,8,"10,000",-,5,-,-,2007,동일하모로 188,-,직거래,-,-
8,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.8960,202207,8,"20,000",-,11,-,-,2000,우정로11길 22,20220718,중개거래,제주 제주시,-
9,제주특별자치도 제주시 노형동,2611-10,2611,10,영보2차,49.1300,202207,8,"15,000",-,7,-,-,1996,정존11길 17,-,중개거래,제주 제주시,-
10,제주특별자치도 제주시 노형동,913-9,913,9,노형아델하임,83.7600,202207,8,"40,000",-,5,-,-,2012,노연로 31,-,중개거래,제주 제주시,-
11,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,101.9934,202207,7,"71,500",-,2,-,-,2017,대청로 34,-,중개거래,제주 서귀포시,-
12,제주특별자치도 제주시 도두일동,2619-2,2619,2,도두네오하임B,83.3400,202207,7,"33,000",-,5,-,-,2017,도두항서7길 5-10,-,중개거래,제주 제주시,-
13,제주특별자치도 서귀포시 서귀동,150,150,0,효림스카이,35.2500,202207,7,"8,000",-,5,-,-,2007,태평로 446,-,중개거래,제주 서귀포시,-
14,제주특별자치도 서귀포시 동홍동,355-1,355,1,주공4(동홍주공4),50.7000,202207,7,"14,000",-,2,-,-,1994,태평로512번길 10,-,직거래,-,-
15,제주특별자치도 서귀포시 서귀동,150,150,0,효림스카이,35.2500,202207,7,"8,000",-,5,-,-,2007,태평로 446,20220812,중개거래,제주 서귀포시,-
16,제주특별자치도 제주시 일도이동,335-16,335,16,일도지산위더스빌,64.8900,202207,6,"23,400",-,9,-,-,2005,신산로13길 25,-,중개거래,제주 제주시,-
17,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202207,6,"57,500",-,12,-,-,2016,대청로 12,20230615,중개거래,제주 서귀포시,-
18,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,101.9934,202207,6,"74,000",-,4,-,-,2017,대청로 34,20220816,중개거래,제주 서귀포시,-
19,제주특별자치도 서귀포시 대정읍 상모리,3078,3078,0,상모채움,72.4500,202207,6,"17,900",-,2,-,-,2020,상모로269번길 17,-,중개거래,제주 서귀포시,-
20,제주특별자치도 제주시 연동,1961-5,1961,5,한라하이츠빌라,128.6300,202207,6,"26,000",-,5,-,-,1998,도령로7길 22,-,중개거래,제주 제주시,-
21,제주특별자치도 제주시 연동,2325-6,2325,6,타워프로빌,138.1400,202207,6,"58,000",-,10,-,-,2010,도령로 95,-,중개거래,제주 제주시,-
22,제주특별자치도 서귀포시 동홍동,147,147,0,주공1,39.6900,202207,6,"18,000",-,1,-,-,1988,동홍중앙로 10,-,직거래,-,-
23,제주특별자치도 제주시 외도일동,529-1,529,1,해밀마루,46.7400,202207,6,"21,800",-,5,-,-,2019,우정로15길 48,-,중개거래,제주 제주시,-
24,제주특별자치도 제주시 이도이동,1061-4,1061,4,영도센스빌,78.2500,202207,6,"24,500",-,7,-,-,2003,고산동산5길 42,-,중개거래,제주 제주시,-
25,제주특별자치도 제주시 애월읍 하귀1리,44-5,44,5,하귀올레,81.3800,202207,6,"30,000",-,1,-,-,2017,하귀1길 15,-,중개거래,제주 제주시,-
26,제주특별자치도 서귀포시 중문동,1789,1789,0,중문푸른마을,51.8800,202207,5,"25,300",-,5,-,-,2003,천제연로 239,-,중개거래,제주 서귀포시,-
27,제주특별자치도 서귀포시 표선면 표선리,1608-4,1608,4,다움채,80.9348,202207,5,"33,000",-,3,-,-,2017,표선관정로 70-11,-,중개거래,제주 서귀포시,-
28,제주특별자치도 서귀포시 서홍동,381-1,381,1,서강파인힐2차,84.9320,202207,5,"32,000",-,7,-,-,2013,홍중로 46,-,중개거래,제주 제주시,-
29,제주특별자치도 제주시 외도일동,463-13,463,13,아모르102,49.9704,202207,5,"14,500",-,4,-,-,2013,우령6길 15-5,-,직거래,-,-
30,제주특별자치도 제주시 노형동,2512-3,2512,3,탐라빌,84.9000,202207,5,"32,000",-,7,-,-,2001,수덕9길 72,-,중개거래,제주 제주시,-
31,제주특별자치도 제주시 한림읍 동명리,1581-1,1581,1,제주한림코아루,78.9930,202207,5,"25,500",-,1,-,-,2016,동명북2길 15,-,직거래,-,-
32,제주특별자치도 제주시 조천읍 조천리,1361-3,1361,3,대진유토피아빌리지(3차),46.9550,202207,5,"16,100",-,3,-,-,2017,조천14길 24,-,중개거래,제주 제주시,-
33,제주특별자치도 제주시 이도일동,1536-1,1536,1,공간아트빌,130.6100,202207,5,"35,000",-,2,-,-,2003,성지로 6,-,직거래,-,-
34,제주특별자치도 제주시 도남동,923-13,923,13,성환,48.9700,202207,5,"14,200",-,6,-,-,1991,신성로 91,-,중개거래,제주 서귀포시 제주 제주시,-
35,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202207,5,"40,000",-,3,-,-,1993,천수로 72,20220819,중개거래,제주 제주시,-
36,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202207,4,"54,000",-,6,-,-,2016,대청로 12,-,중개거래,제주 서귀포시,-
37,제주특별자치도 서귀포시 안덕면 화순리,1131,1131,0,화순블루팰리스,73.9403,202207,4,"23,500",-,6,-,-,2017,화순중앙로12번길 3,-,중개거래,제주 서귀포시,-
38,제주특별자치도 서귀포시 서홍동,344-3,344,3,세림,81.1600,202207,4,"15,700",-,3,-,-,1990,홍중로 75,-,중개거래,제주 서귀포시,-
39,제주특별자치도 서귀포시 서귀동,224-2,224,2,대성뉴본,84.9700,202207,4,"23,500",-,7,-,-,2005,태평로 462,-,직거래,-,-
40,제주특별자치도 서귀포시 중문동,2433-2,2433,2,중문미듬하나로,59.3599,202207,3,"14,200",-,4,-,-,2002,천제연로232번길 18-5,20220705,중개거래,제주 서귀포시,-
41,제주특별자치도 서귀포시 중문동,2433-2,2433,2,중문미듬하나로,59.3599,202207,3,"14,200",-,4,-,-,2002,천제연로232번길 18-5,-,중개거래,제주 서귀포시,-
42,제주특별자치도 제주시 일도이동,1046-2,1046,2,기산,79.7400,202207,2,"25,000",-,2,-,-,1997,삼성로5길 9,-,중개거래,제주 제주시,-
43,제주특별자치도 서귀포시 대정읍 하모리,767-1,767,1,새움엘리시아1차아파트,84.6900,202207,2,"27,000",-,6,-,-,2016,신영로94번길 23,-,중개거래,제주 서귀포시,-
44,제주특별자치도 제주시 일도이동,330-26,330,26,삼부장미주상,40.2600,202207,1,"9,500",-,6,-,-,2004,고마로 56,-,중개거래,제주 제주시,-
45,제주특별자치도 제주시 연동,293-13,293,13,시스빌,39.7300,202207,1,"9,100",-,6,-,-,2004,연동11길 39,-,중개거래,제주 제주시,-
46,제주특별자치도 제주시 외도일동,463-1,463,1,아모르101,48.5429,202207,1,"16,600",-,5,-,-,2012,우정로6길 17,-,중개거래,제주 제주시,-
47,제주특별자치도 서귀포시 보목동,1280,1280,0,장안아파트101동102동,59.6600,202207,1,"8,500",-,5,-,-,1992,문필로 54,-,중개거래,제주 서귀포시,-
48,제주특별자치도 서귀포시 동홍동,359-3,359,3,모다드림,81.4900,202207,1,"25,000",-,2,-,-,2013,태평로 504,-,직거래,-,-
49,제주특별자치도 제주시 연동,2330-3,2330,3,일정제주아이빌,80.1419,202207,1,"24,000",-,5,-,-,2002,도령로13길 10,-,직거래,-,-
