전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
59.4757,2016-12,30,2016,194620000,2016,12,제주시,삼양이동
53.5651,2016-12,30,2016,143260000,2016,12,제주시,삼양이동
59.4757,2016-12,30,2016,207360000,2016,12,제주시,삼양이동
46.77,2016-12,30,2016,190770000,2016,12,제주시,노형동
69.0045,2016-12,30,2016,251300000,2016,12,제주시,삼양이동
54.0,2016-12,30,1992,34000000,2016,12,서귀포시,서귀동
59.4757,2016-12,30,2016,217360000,2016,12,제주시,삼양이동
74.7804,2016-12,29,2016,236940000,2016,12,제주시,삼양이동
46.77,2016-12,29,2016,181560000,2016,12,제주시,노형동
46.77,2016-12,29,2016,203200000,2016,12,제주시,노형동
74.7804,2016-12,29,2016,184210000,2016,12,제주시,삼양이동
46.77,2016-12,28,2016,206880000,2016,12,제주시,노형동
43.89,2016-12,28,2015,125000000,2016,12,제주시,외도일동
83.66,2016-12,27,2016,300000000,2016,12,제주시,노형동
46.75,2016-12,26,2016,185240000,2016,12,제주시,노형동
46.77,2016-12,26,2016,203200000,2016,12,제주시,노형동
46.77,2016-12,26,2016,190770000,2016,12,제주시,노형동
46.77,2016-12,26,2016,206880000,2016,12,제주시,노형동
46.65,2016-12,26,2016,208730000,2016,12,제주시,노형동
46.75,2016-12,26,2016,183400000,2016,12,제주시,노형동
46.77,2016-12,26,2016,181560000,2016,12,제주시,노형동
46.77,2016-12,26,2016,183400000,2016,12,제주시,노형동
46.77,2016-12,26,2016,208730000,2016,12,제주시,노형동
46.77,2016-12,26,2016,205040000,2016,12,제주시,노형동
46.77,2016-12,26,2016,210570000,2016,12,제주시,노형동
46.77,2016-12,26,2016,208730000,2016,12,제주시,노형동
32.0,2016-12,22,1992,35000000,2016,12,서귀포시,서귀동
26.355,2016-12,21,1991,70000000,2016,12,제주시,노형동
36.855,2016-12,21,1991,95000000,2016,12,제주시,노형동
36.855,2016-12,21,1991,130000000,2016,12,제주시,노형동
58.68,2016-12,21,2015,190000000,2016,12,제주시,연동
21.75,2016-12,21,2011,88000000,2016,12,제주시,연동
