NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 삼도일동,561-3,0561,0003,에스디빌,62.7500,202012,31,"24,600",4,-,-,2018,서광로 196,-,-,-
2,제주특별자치도 제주시 이도이동,1986-5,1986,0005,오피스텔 노브힐 이도,33.8700,202012,30,"16,000",3,-,-,2017, ,-,-,-
3,제주특별자치도 제주시 노형동,906-5,0906,0005,한신코아오피스텔,30.0000,202012,30,"6,000",6,-,-,1991,도령로 54,-,-,-
4,제주특별자치도 제주시 삼도이동,1137,1137,0000,한집시티빌,84.6446,202012,29,"35,000",8,-,-,2019,무근성3길 18,-,-,-
5,제주특별자치도 제주시 삼도이동,1137,1137,0000,한집시티빌,84.6446,202012,29,"35,000",7,-,-,2019,무근성3길 18,-,-,-
6,제주특별자치도 제주시 한림읍 한림리,1200-7,1200,0007,해원오피스텔,67.0852,202012,28,"15,500",2,-,-,2018,한림남2길 6,-,-,-
7,제주특별자치도 제주시 애월읍 하귀2리,1795-1,1795,0001,애월위너빌,68.8828,202012,28,"26,500",2,-,-,2019,일주서로 7044,-,-,-
8,제주특별자치도 서귀포시 서귀동,163-11,0163,0011,남양오피스텔,38.2500,202012,27,"3,300",9,-,-,1994,태평로 438,-,-,-
9,제주특별자치도 서귀포시 남원읍 위미리,4171-3,4171,0003,위미 캐슬 휘닉스,84.9700,202012,24,"20,000",2,-,-,2018, ,-,-,-
10,제주특별자치도 제주시 일도이동,160-7,0160,0007,일도이동 해든빌 오피스텔,71.0525,202012,22,"19,000",3,-,-,2017, ,-,-,-
11,제주특별자치도 서귀포시 대정읍 상모리,3943-4,3943,0004,해누리아파트,105.7600,202012,22,"20,000",3,-,-,2015, ,-,-,-
12,제주특별자치도 제주시 노형동,725-4,0725,0004,녹색도시,82.5400,202012,21,"26,000",11,-,-,2015, ,-,-,-
13,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202012,21,"5,500",14,-,-,2004,연북로 45,-,-,-
14,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202012,21,"5,500",14,-,-,2004,연북로 45,-,-,-
