NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 연동,290-42,290,42,천마 에코피아 오피스텔,42.4150,202112,31,"18,000",2,-,-,2017,삼무로11길 4,-,직거래,-
2,제주특별자치도 제주시 애월읍 하귀1리,117-1,117,1,제주모닝시티,24.6706,202112,31,"9,900",6,-,-,2018,하귀9길 2,-,중개거래,제주 제주시
3,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202112,31,"4,200",12,-,-,2004,연북로 45,-,직거래,-
4,제주특별자치도 제주시 노형동,709,709,0,에코트윈,84.7100,202112,30,"31,000",12,-,-,2013,1100로 3308,-,중개거래,제주 제주시
5,제주특별자치도 제주시 노형동,2525-8,2525,8,(2525-8),84.7200,202112,30,"28,000",3,-,-,2019,정존5길 23,-,직거래,-
6,제주특별자치도 제주시 외도일동,450-12,450,12,외도 이안애,80.2054,202112,30,"24,700",5,-,-,2017,우정로3길 12,-,직거래,-
7,제주특별자치도 제주시 노형동,2576-3,2576,3,정현빌,83.2000,202112,30,"24,000",6,-,-,2013,달마루길 28,-,중개거래,제주 제주시
8,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6000,202112,30,"5,200",3,-,-,1990,도령로 87,-,중개거래,제주 제주시
9,제주특별자치도 제주시 연동,306-12,306,12,진호 케스텔,29.1900,202112,29,"6,900",9,-,-,2003,사장길 37,-,직거래,-
10,제주특별자치도 제주시 조천읍 신촌리,1789-1,1789,1,라 스위트,84.2500,202112,29,"20,450",2,-,-,2017,신북로 84,-,직거래,-
11,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,32.0000,202112,29,"5,600",8,-,-,1992,중정로 123,-,중개거래,제주 서귀포시
12,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,64.0000,202112,28,"11,800",3,-,-,1991,도령로 54,-,중개거래,제주 제주시
13,제주특별자치도 제주시 외도일동,495-2,495,2,남건휴먼스 7차,61.3600,202112,28,"16,000",4,-,-,2016,우정로10길 8,-,중개거래,제주 제주시
14,제주특별자치도 제주시 이도일동,1549-9,1549,9,이도네오하임,45.9700,202112,28,"19,000",2,-,-,2017,중앙로17길 20-2,-,중개거래,제주 제주시
15,제주특별자치도 제주시 조천읍 함덕리,968,968,0,씨엘빌리지2차,81.4500,202112,28,"23,000",2,-,-,2017,함덕20길 16,-,직거래,-
16,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,38.2500,202112,27,"2,800",4,-,-,1994,태평로 438,-,직거래,-
17,제주특별자치도 서귀포시 대정읍 상모리,3943-4,3943,4,해누리아파트,105.7600,202112,25,"20,700",6,-,-,2015, ,-,중개거래,제주 서귀포시
18,제주특별자치도 제주시 노형동,710-2,710,2,에코에비뉴,35.9000,202112,23,"16,100",4,-,-,2017,연북로 21,-,중개거래,제주 제주시
19,제주특별자치도 제주시 노형동,2534-2,2534,2,노형 위더스빌,84.6700,202112,23,"25,000",3,-,-,2013,수덕3길 43,-,직거래,-
20,제주특별자치도 제주시 노형동,710-2,710,2,에코에비뉴,35.9000,202112,23,"16,150",5,-,-,2017,연북로 21,-,중개거래,제주 제주시
21,제주특별자치도 제주시 노형동,1293-3,1293,3,빌리브 노형,83.2069,202112,23,"45,000",9,-,-,2020,월랑로2길 34,-,중개거래,제주 제주시
22,제주특별자치도 제주시 노형동,1293-3,1293,3,빌리브 노형,83.2069,202112,23,"45,000",10,-,-,2020,월랑로2길 34,-,중개거래,제주 제주시
23,제주특별자치도 제주시 노형동,721-2,721,2,노형 이타스Ⅲ,83.6600,202112,22,"28,000",10,-,-,2016,과원북4길 17,-,중개거래,제주 제주시
24,제주특별자치도 서귀포시 강정동,155-4,155,4,(155-4),32.1800,202112,22,"23,000",8,-,-,2018,신서귀로51번길 32,20220725,직거래,-
25,제주특별자치도 제주시 연동,260-24,260,24,갤럭시타운,41.2300,202112,22,"13,400",2,-,-,2012,도령로 106,-,직거래,-
26,제주특별자치도 서귀포시 표선면 표선리,954-3,954,3,하르빌표선,81.6200,202112,21,"21,500",3,-,-,2017, ,-,중개거래,제주 서귀포시
27,제주특별자치도 서귀포시 대정읍 상모리,3841,3841,0,빌라드 그리움,36.5900,202112,21,"9,800",5,-,-,2017, ,-,직거래,-
28,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,202112,21,"6,100",5,-,-,1991,도령로 40,-,중개거래,제주 제주시
29,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0000,202112,21,"6,000",11,-,-,1991,도령로 54,-,직거래,-
30,제주특별자치도 제주시 이도일동,1244-1,1244,1,파미르파크 오피스텔,22.7900,202112,20,"14,000",3,-,-,2019,동광로 55,-,중개거래,제주 제주시
31,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,34.4770,202112,20,"16,000",2,-,-,2019,삼무로1길 10-8,-,중개거래,제주 제주시
32,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,73.0500,202112,20,"9,000",8,-,-,1992,중정로 123,-,직거래,-
33,제주특별자치도 제주시 연동,260-30,260,30,제주 연동 일성 트루엘,34.4770,202112,20,"16,000",2,-,-,2019,삼무로1길 10-8,20211229,중개거래,제주 제주시
34,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202112,20,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
35,제주특별자치도 제주시 이도이동,1166-6,1166,6,(1166-6),42.4100,202112,18,"18,300",2,-,-,2019,동광로12길 13,-,직거래,-
36,제주특별자치도 제주시 연동,306-12,306,12,진호 케스텔,37.9750,202112,18,"6,900",9,-,-,2003,사장길 37,-,직거래,-
37,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,84.9000,202112,17,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
38,제주특별자치도 제주시 연동,1494,1494,0,신제주 연동 트리플시티,69.0787,202112,17,"47,868",7,-,-,2021,연북로 106,-,중개거래,제주 제주시
39,제주특별자치도 제주시 연동,1494,1494,0,신제주 연동 트리플시티,27.6087,202112,17,"19,679",5,-,-,2021,연북로 106,-,중개거래,제주 제주시
40,제주특별자치도 제주시 노형동,2574-2,2574,2,노형휴캐슬,63.9004,202112,15,"30,000",8,-,-,2018,월광로 140,-,직거래,-
41,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,202112,14,"4,900",3,-,-,2004,연북로 41,-,중개거래,제주 제주시
42,제주특별자치도 제주시 삼도일동,561-3,561,3,에스디빌,71.7000,202112,14,"25,500",2,-,-,2018,서광로 196,-,중개거래,제주 제주시
43,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202112,14,"19,278",4,-,-,2021,탑동로13길 39,-,직거래,-
44,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,84.9000,202112,14,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
45,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,74.0600,202112,13,"19,278",3,-,-,2021,탑동로13길 39,-,직거래,-
46,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,82.3300,202112,13,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
47,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202112,12,"4,100",12,-,-,2004,연북로 45,-,중개거래,제주 제주시
48,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202112,12,"4,100",12,-,-,2004,연북로 45,-,직거래,-
49,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,77.0300,202112,10,"19,278",2,-,-,2021,탑동로13길 39,-,직거래,-
50,제주특별자치도 제주시 노형동,2574-2,2574,2,노형휴캐슬,84.9679,202112,10,"29,000",3,-,-,2018,월광로 140,-,직거래,-
51,제주특별자치도 제주시 영평동,2169-3,2169,3,엠제이벤처오름,73.5993,202112,10,"28,000",5,-,-,2017,첨단로 199,-,중개거래,제주 제주시
52,제주특별자치도 제주시 연동,1494,1494,0,신제주 연동 트리플시티,83.8633,202112,10,"67,960",7,-,-,2021,연북로 106,-,중개거래,제주 제주시
53,제주특별자치도 제주시 노형동,2525-8,2525,8,(2525-8),84.7200,202112,8,"28,841",6,-,-,2019,정존5길 23,-,직거래,-
54,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,61.9900,202112,8,"27,162",9,-,-,2018,우정로4길 4,-,직거래,-
55,제주특별자치도 제주시 노형동,2525-8,2525,8,(2525-8),84.7200,202112,7,"29,010",7,-,-,2019,정존5길 23,-,직거래,-
56,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6000,202112,7,"6,700",4,-,-,1990,도령로 87,-,직거래,-
57,제주특별자치도 제주시 이도이동,1138-1,1138,1,이도위더스빌24차,84.9000,202112,6,"25,500",3,-,-,2014,동광로6길 35-6,-,직거래,-
