,단지명,내용,주소,위도,경도
0,(633-16),"[요약]
(633-16)아파트는 제주특별자치도 제주시 외도일동에 있으며, 최근 6개월간 22건의 거래가 있었고 평균 평당 가격은 13,619,023원입니다. 가장 최근 거래는 2022년 12월, 23.7평, 3.1367억 원에 체결되었습니다. 최근 6개월간의 거래 내역이 없습니다.

[거래내역]
- 2022년 12월 29일 | 23.7평 | 3.1억 원
- 2022년 12월 29일 | 23.7평 | 3.2억 원
- 2022년 12월 29일 | 23.7평 | 3.2억 원
- 2022년 12월 29일 | 23.7평 | 3.3억 원
- 2022년 12월 29일 | 23.7평 | 3.1억 원
- 2022년 12월 29일 | 23.7평 | 3.4억 원
- 2022년 12월 29일 | 23.7평 | 3.1억 원
- 2022년 12월 29일 | 23.7평 | 3.4억 원
- 2022년 12월 29일 | 23.7평 | 3.2억 원
- 2022년 12월 29일 | 23.7평 | 3.2억 원
- 2022년 12월 29일 | 23.7평 | 3.1억 원
- 2022년 12월 29일 | 23.7평 | 3.2억 원
- 2022년 12월 29일 | 23.7평 | 3.3억 원
- 2022년 12월 29일 | 23.7평 | 3.1억 원
- 2022년 12월 29일 | 23.7평 | 3.4억 원
- 2022년 12월 29일 | 23.7평 | 3.0억 원
- 2022년 12월 29일 | 23.7평 | 3.3억 원
- 2022년 12월 29일 | 23.7평 | 3.3억 원
- 2022년 12월 29일 | 23.7평 | 3.4억 원
- 2022년 12월 29일 | 23.7평 | 3.3억 원",제주특별자치도 제주시 외도일동 우령6길 70,33.4851660007554,126.42863231328
1,HausD블루오션,"[요약]
HausD블루오션아파트는 제주특별자치도 서귀포시 서호동에 있으며, 최근 6개월간 346건의 거래가 있었고 평균 평당 가격은 16,920,604원입니다. 가장 최근 거래는 2025년 06월, 25.7평, 4.2억 원에 체결되었습니다. 6개월 전 대비 약 6.2% 하락했습니다.

[거래내역]
- 2025년 06월 30일 | 25.7평 | 4.2억 원
- 2025년 05월 6일 | 25.7평 | 4.5억 원
- 2025년 05월 3일 | 25.7평 | 4.7억 원
- 2025년 04월 30일 | 25.7평 | 4.1억 원
- 2025년 03월 13일 | 25.7평 | 5.1억 원
- 2025년 03월 13일 | 25.7평 | 5.1억 원
- 2025년 02월 6일 | 22.7평 | 3.8억 원
- 2024년 12월 21일 | 25.7평 | 4.5억 원
- 2024년 12월 17일 | 25.7평 | 4.5억 원
- 2024년 12월 4일 | 25.7평 | 4.3억 원
- 2024년 11월 26일 | 25.7평 | 4.2억 원
- 2024년 11월 7일 | 25.7평 | 5.1억 원
- 2024년 10월 16일 | 22.7평 | 4.1억 원
- 2024년 10월 5일 | 25.7평 | 4.6억 원
- 2024년 10월 2일 | 25.7평 | 4.8억 원
- 2024년 10월 2일 | 22.7평 | 4.2억 원
- 2024년 09월 20일 | 25.7평 | 3.4억 원
- 2024년 08월 13일 | 25.7평 | 4.5억 원
- 2024년 07월 16일 | 25.7평 | 4.9억 원
- 2024년 07월 4일 | 25.7평 | 5.0억 원",제주특별자치도 서귀포시 서호동 서호남로 92-16,33.2480114788051,126.519792813276
2,J.F.D,"[요약]
J.F.D아파트는 제주특별자치도 서귀포시 동홍동에 있으며, 최근 6개월간 2건의 거래가 있었고 평균 평당 가격은 13,637,653원입니다. 가장 최근 거래는 2020년 10월, 6.2평, 0.8억 원에 체결되었습니다. 6개월 전 대비 약 20.0% 하락했습니다.

[거래내역]
- 2020년 10월 22일 | 6.2평 | 0.8억 원
- 2016년 09월 23일 | 7.0평 | 1.0억 원",제주특별자치도 서귀포시 동홍동 동홍서로 6,33.2498279916315,126.570895694369
3,JNC패밀리3차,"[요약]
JNC패밀리3차아파트는 제주특별자치도 제주시 삼도이동에 있으며, 최근 6개월간 22건의 거래가 있었고 평균 평당 가격은 11,920,046원입니다. 가장 최근 거래는 2024년 12월, 25.7평, 3.2억 원에 체결되었습니다. 6개월 전 대비 약 3.0% 하락했습니다.

[거래내역]
- 2024년 12월 10일 | 25.7평 | 3.2억 원
- 2024년 09월 23일 | 25.7평 | 3.1억 원
- 2024년 09월 2일 | 25.7평 | 3.0억 원
- 2022년 10월 4일 | 25.7평 | 3.3억 원
- 2022년 06월 13일 | 25.7평 | 3.8억 원
- 2021년 12월 9일 | 25.7평 | 3.1억 원
- 2021년 12월 9일 | 25.7평 | 3.1억 원
- 2021년 09월 17일 | 25.7평 | 3.1억 원
- 2020년 10월 18일 | 25.7평 | 3.0억 원
- 2020년 06월 26일 | 25.7평 | 2.9억 원
- 2020년 06월 13일 | 25.7평 | 3.0억 원
- 2019년 09월 23일 | 25.7평 | 3.0억 원
- 2019년 04월 30일 | 25.7평 | 3.1억 원
- 2018년 10월 10일 | 25.6평 | 2.9억 원
- 2018년 09월 18일 | 18.2평 | 2.4억 원
- 2018년 08월 27일 | 25.7평 | 3.0억 원
- 2017년 11월 6일 | 18.2평 | 2.3억 원
- 2017년 08월 11일 | 25.7평 | 3.1억 원
- 2017년 01월 6일 | 25.7평 | 3.2억 원
- 2016년 10월 6일 | 18.2평 | 2.1억 원",제주특별자치도 제주시 삼도이동 북성로 14,33.51592861931,126.523075399168
4,JNC패밀리4차,"[요약]
JNC패밀리4차아파트는 제주특별자치도 제주시 도남동에 있으며, 최근 6개월간 12건의 거래가 있었고 평균 평당 가격은 13,528,375원입니다. 가장 최근 거래는 2023년 09월, 23.6평, 3.67억 원에 체결되었습니다. 6개월 전 대비 약 252.9% 상승했습니다.

[거래내역]
- 2023년 09월 2일 | 23.6평 | 3.7억 원
- 2023년 08월 29일 | 23.6평 | 3.2억 원
- 2022년 09월 26일 | 9.1평 | 1.0억 원
- 2022년 05월 18일 | 25.0평 | 3.8억 원
- 2021년 06월 8일 | 23.6평 | 3.2억 원
- 2020년 12월 1일 | 9.1평 | 1.2억 원
- 2020년 11월 16일 | 25.0평 | 3.1억 원
- 2019년 12월 14일 | 23.6평 | 3.1억 원
- 2019년 04월 8일 | 25.0평 | 3.2억 원
- 2019년 02월 22일 | 9.1평 | 1.1억 원
- 2017년 02월 24일 | 9.1평 | 1.2억 원
- 2016년 08월 26일 | 23.6평 | 3.8억 원",제주특별자치도 제주시 도남동 연삼로 355,33.4928895382193,126.53030021031
5,JNC패밀리II,"[요약]
JNC패밀리II아파트는 제주특별자치도 제주시 삼도이동에 있으며, 최근 6개월간 19건의 거래가 있었고 평균 평당 가격은 10,625,368원입니다. 가장 최근 거래는 2022년 04월, 9.5평, 1.04억 원에 체결되었습니다. 6개월 전 대비 약 15.6% 상승했습니다.

[거래내역]
- 2022년 04월 8일 | 9.5평 | 1.0억 원
- 2022년 03월 1일 | 9.5평 | 0.8억 원
- 2022년 02월 6일 | 9.5평 | 0.9억 원
- 2021년 07월 29일 | 9.5평 | 0.9억 원
- 2019년 12월 27일 | 9.5평 | 0.8억 원
- 2019년 04월 17일 | 9.1평 | 1.0억 원
- 2018년 10월 7일 | 9.5평 | 0.8억 원
- 2017년 12월 30일 | 9.1평 | 0.9억 원
- 2017년 11월 24일 | 9.5평 | 1.1억 원
- 2017년 11월 19일 | 9.8평 | 1.1억 원
- 2017년 03월 8일 | 9.5평 | 1.1억 원
- 2017년 02월 28일 | 9.5평 | 1.1억 원
- 2017년 02월 10일 | 9.5평 | 1.1억 원
- 2016년 10월 14일 | 9.5평 | 1.1억 원
- 2016년 03월 29일 | 9.8평 | 0.9억 원
- 2016년 03월 24일 | 9.8평 | 0.9억 원
- 2016년 01월 30일 | 9.5평 | 1.2억 원
- 2016년 01월 27일 | 9.1평 | 1.0억 원
- 2016년 01월 7일 | 9.5평 | 1.2억 원",제주특별자치도 제주시 삼도이동 관덕로2길 18,33.5113647469842,126.520546831232
6,J블루오션,"[요약]
J블루오션아파트는 제주특별자치도 제주시 한림읍 협재리에 있으며, 최근 6개월간 44건의 거래가 있었고 평균 평당 가격은 5,134,397원입니다. 가장 최근 거래는 2025년 04월, 18.1평, 1.49억 원에 체결되었습니다. 6개월 전 대비 약 24.2% 상승했습니다.

[거래내역]
- 2025년 04월 24일 | 18.1평 | 1.5억 원
- 2024년 05월 20일 | 18.1평 | 1.2억 원
- 2023년 11월 24일 | 18.1평 | 1.1억 원
- 2023년 02월 16일 | 25.4평 | 1.4억 원
- 2023년 02월 7일 | 25.4평 | 1.5억 원
- 2022년 12월 12일 | 18.1평 | 0.8억 원
- 2022년 10월 7일 | 18.1평 | 1.0억 원
- 2022년 09월 26일 | 25.0평 | 1.5억 원
- 2022년 08월 5일 | 18.1평 | 0.9억 원
- 2022년 06월 9일 | 18.1평 | 1.0억 원
- 2022년 05월 2일 | 18.1평 | 0.9억 원
- 2022년 04월 15일 | 18.1평 | 0.8억 원
- 2022년 03월 16일 | 18.1평 | 0.9억 원
- 2022년 03월 4일 | 18.1평 | 1.0억 원
- 2021년 12월 7일 | 18.1평 | 0.9억 원
- 2021년 11월 26일 | 18.1평 | 0.9억 원
- 2021년 06월 18일 | 22.6평 | 1.5억 원
- 2021년 05월 10일 | 22.6평 | 1.2억 원
- 2021년 05월 10일 | 22.6평 | 1.2억 원
- 2021년 02월 6일 | 24.7평 | 1.5억 원",제주특별자치도 제주시 한림읍 협재리 협재10길 18,33.3976577791326,126.247003147337
7,SJ해피드림,"[요약]
SJ해피드림아파트는 제주특별자치도 제주시 화북일동에 있으며, 최근 6개월간 3건의 거래가 있었고 평균 평당 가격은 9,567,522원입니다. 가장 최근 거래는 2025년 02월, 25.1평, 2.47억 원에 체결되었습니다. 6개월 전 대비 약 7.4% 상승했습니다.

[거래내역]
- 2025년 02월 26일 | 25.1평 | 2.5억 원
- 2020년 04월 10일 | 25.1평 | 2.3억 원
- 2018년 12월 19일 | 25.1평 | 2.4억 원",제주특별자치도 제주시 화북일동 진동로 44,33.5229613517543,126.567909223913
8,SM상명예다움,"[요약]
SM상명예다움아파트는 제주특별자치도 제주시 봉개동에 있으며, 최근 6개월간 14건의 거래가 있었고 평균 평당 가격은 10,394,638원입니다. 가장 최근 거래는 2024년 05월, 25.7평, 2.8억 원에 체결되었습니다. 6개월 전 대비 약 36.6% 상승했습니다.

[거래내역]
- 2024년 05월 10일 | 25.7평 | 2.8억 원
- 2023년 09월 22일 | 21.5평 | 2.0억 원
- 2022년 01월 26일 | 25.6평 | 2.8억 원
- 2021년 10월 24일 | 21.5평 | 2.0억 원
- 2021년 10월 24일 | 21.5평 | 2.0억 원
- 2021년 10월 19일 | 21.5평 | 2.0억 원
- 2021년 10월 19일 | 21.5평 | 2.0억 원
- 2021년 08월 22일 | 25.7평 | 2.9억 원
- 2021년 01월 18일 | 25.6평 | 2.9억 원
- 2020년 12월 12일 | 25.7평 | 2.8억 원
- 2018년 01월 14일 | 25.7평 | 2.8억 원
- 2017년 12월 28일 | 25.6평 | 2.8억 원
- 2017년 11월 20일 | 25.7평 | 2.8억 원
- 2017년 07월 3일 | 25.7평 | 2.7억 원",제주특별자치도 제주시 봉개동 중산간동로 14,33.4891751232904,126.599078627013
9,Skyblue천지인,"[요약]
Skyblue천지인아파트는 제주특별자치도 서귀포시 서귀동에 있으며, 최근 6개월간 17건의 거래가 있었고 평균 평당 가격은 7,981,028원입니다. 가장 최근 거래는 2023년 07월, 25.7평, 1.93억 원에 체결되었습니다. 6개월 전 대비 약 1.0% 하락했습니다.

[거래내역]
- 2023년 07월 19일 | 25.7평 | 1.9억 원
- 2023년 06월 5일 | 25.5평 | 2.1억 원
- 2023년 04월 24일 | 25.5평 | 2.0억 원
- 2021년 04월 2일 | 25.5평 | 1.9억 원
- 2020년 11월 2일 | 25.5평 | 2.0억 원
- 2017년 12월 6일 | 25.5평 | 2.3억 원
- 2017년 07월 13일 | 25.5평 | 2.2억 원
- 2016년 09월 5일 | 25.5평 | 2.3억 원
- 2016년 08월 1일 | 25.5평 | 2.0억 원
- 2016년 06월 28일 | 25.5평 | 2.0억 원
- 2016년 06월 23일 | 25.5평 | 1.9억 원
- 2016년 06월 21일 | 25.5평 | 1.9억 원
- 2016년 04월 7일 | 25.5평 | 2.0억 원
- 2016년 03월 15일 | 25.5평 | 2.0억 원
- 2016년 02월 11일 | 25.5평 | 1.9억 원
- 2016년 01월 5일 | 25.5평 | 2.0억 원
- 2016년 01월 5일 | 25.5평 | 2.0억 원",제주특별자치도 서귀포시 서귀동 중정로61번길 33,33.2507550322675,126.562352712977
