,매장명,주소,위도,경도
0,제주신화월드R,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 B1-29,33.3049726791712,126.31635202613
1,제주에듀시티,제주특별자치도 서귀포시 대정읍 에듀시티로 36,33.2918196619561,126.28428960077
2,제주성산DT,제주특별자치도 서귀포시 성산읍 일출로 80,33.4497109599414,126.920694909089
3,제주중문DT,제주특별자치도 서귀포시 천제연로 95(색달동),33.2550716537896,126.41585593383
4,제주송악산,제주특별자치도 서귀포시 대정읍 형제해안로 322,33.2067772259681,126.289973082566
5,서귀포DT,제주특별자치도 서귀포시 일주서로 11 (강정동),33.2495228494612,126.506723255212
6,성산일출봉,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층",33.462865838381,126.935500240865
7,제주중문,제주특별자치도 서귀포시 중문관광로110번길 32 (색달동),33.2511965704814,126.412639076353
8,서귀포올레,제주특별자치도 서귀포시 중정로 69 (서귀동),33.2482640388818,126.563721580326
9,제주서귀포토평DT,제주특별자치도 서귀포시 일주동로 8516 (토평동),33.2553925153019,126.577803800637
10,제주모슬포DT,제주특별자치도 서귀포시 대정읍 일주서로 2549,33.2273661044863,126.257945538646
11,제주서귀포남원DT,제주특별자치도 서귀포시 남원읍 일주동로 7129,33.2829436737925,126.718909358448
12,제주도남DT,제주특별자치도 제주시 연북로 394 (도남동),33.4803326008708,126.523479276392
13,제주협재,제주특별자치도 제주시 한림읍 한림로 337,33.393831193545,126.240232982728
14,제주외도DT,제주특별자치도 제주시 일주서로 7300 (외도일동),33.4923276809797,126.427070848399
15,제주삼화DT,제주특별자치도 제주시 연삼로 884 (도련일동),33.5117385888716,126.580441578127
16,제주시청,제주특별자치도 제주시 중앙로 215 (이도이동),33.5004571238047,126.529533152106
17,제주애월DT,제주특별자치도 제주시 애월읍 애월해안로 376,33.4727008501526,126.348753870498
18,제주칠성,제주특별자치도 제주시 관덕로 55 (일도일동),33.5133488425736,126.525243369504
19,제주노형,제주특별자치도 제주시 도령로 27 (노형동),33.4878254153069,126.481855636151
20,제주용담DT,제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스,33.5123994033523,126.484509957101
21,신제주이마트,"제주특별자치도 제주시 1100로 3348, 신제주이마트 1층 (노형동)",33.4849650136857,126.480431633456
22,제주세화DT,제주특별자치도 제주시 구좌읍 일주동로 3121,33.523004040186,126.85306023461
23,제주노형로,제주특별자치도 제주시 노형로 376 (노형동),33.483414723833,126.476126253122
24,제주노형DT,제주특별자치도 제주시 월랑로 68 (노형동),33.49094732343,126.474142743785
25,제주한라수목원DT,제주특별자치도 제주시 수목원서길 3-5 (노형동),33.4689311691482,126.484469251811
26,제주서해안로DT,제주특별자치도 제주시 서해안로 624 (용담삼동),33.5166839499686,126.503564232698
27,제주일도DT,제주특별자치도 제주시 동광로 130 (일도이동),33.5072920513128,126.540816616021
28,제주공항DT,제주특별자치도 제주시 월성로 42 (용담이동),33.5006302664309,126.505328779165
29,제주금악DT,제주특별자치도 제주시 한림읍 평화로 1360-2,33.347942582474,126.359333092302
30,제주한담해변DT,제주특별자치도 제주시 애월읍 일주서로 6142,33.458110532813,126.311179122366
31,더제주송당파크R,제주특별자치도 제주시 구좌읍 비자림로 1189,33.4355379081745,126.731358009272
32,제주평화로DT,제주특별자치도 제주시 노형로 37 (해안동),33.4633071510783,126.451005999352
