,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,매수,매도,거래금액,전용면적(평),평당가격,계약년도,계약월,주소,계약년월일
0,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,59.4757,201612,30,"19,462",3,-,-,2016, ,-,-,-,,,194620000,17.99139925,10817390.981971566,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-30
1,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,53.5651,201612,30,"14,326",8,-,-,2016, ,-,-,-,,,143260000,16.20344275,8841330.957274497,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-30
2,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,59.4757,201612,30,"20,736",6,-,-,2016, ,-,-,-,,,207360000,17.99139925,11525507.11140491,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-30
3,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,30,"19,077",8,-,-,2016, ,-,-,-,,,190770000,14.147925,13483956.127842069,2016,12,제주특별자치도 제주시 노형동  ,2016-12-30
4,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,69.0045,201612,30,"25,130",6,-,-,2016, ,-,-,-,,,251300000,20.873861249999997,12038980.090470806,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-30
5,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,54.0,201612,30,"3,400",7,-,-,1992,중정로 123,-,-,-,,,34000000,16.335,2081420.263238445,2016,12,제주특별자치도 서귀포시 서귀동 중정로 123,2016-12-30
6,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,59.4757,201612,30,"21,736",7,-,-,2016, ,-,-,-,,,217360000,17.99139925,12081328.249107694,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-30
7,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,74.7804,201612,29,"23,694",2,-,-,2016, ,-,-,-,,,236940000,22.621071,10474305.129054233,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-29
8,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,29,"18,156",3,-,-,2016, ,-,-,-,,,181560000,14.147925,12832977.274052555,2016,12,제주특별자치도 제주시 노형동  ,2016-12-29
9,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,29,"20,320",3,-,-,2016, ,-,-,-,,,203200000,14.147925,14362530.194357121,2016,12,제주특별자치도 제주시 노형동  ,2016-12-29
10,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,74.7804,201612,29,"18,421",4,-,-,2016, ,-,-,-,,,184210000,22.621071,8143292.596535328,2016,12,제주특별자치도 제주시 삼양이동  ,2016-12-29
11,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,28,"20,688",5,-,-,2016, ,-,-,-,,,206880000,14.147925,14622639.008900598,2016,12,제주특별자치도 제주시 노형동  ,2016-12-28
12,제주특별자치도 제주시 외도일동,537-2,537,2,남건휴먼스 5차,43.89,201612,28,"12,500",4,-,-,2015,우령서로 67,-,-,-,,,125000000,13.276724999999999,9414972.442375662,2016,12,제주특별자치도 제주시 외도일동 우령서로 67,2016-12-28
13,제주특별자치도 제주시 노형동,721-2,721,2,노형 이타스Ⅲ,83.66,201612,27,"30,000",11,-,-,2016,과원북4길 17,-,-,-,,,300000000,25.307149999999996,11854357.365408592,2016,12,제주특별자치도 제주시 노형동 과원북4길 17,2016-12-27
14,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.75,201612,26,"18,524",5,-,-,2016, ,-,-,-,,,185240000,14.141874999999999,13098687.408847837,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
15,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"20,320",3,-,-,2016, ,-,-,-,,,203200000,14.147925,14362530.194357121,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
16,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"19,077",8,-,-,2016, ,-,-,-,,,190770000,14.147925,13483956.127842069,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
17,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"20,688",5,-,-,2016, ,-,-,-,,,206880000,14.147925,14622639.008900598,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
18,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.65,201612,26,"20,873",6,-,-,2016, ,-,-,-,,,208730000,14.111624999999998,14791351.102371274,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
19,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.75,201612,26,"18,340",4,-,-,2016, ,-,-,-,,,183400000,14.141874999999999,12968577.363327,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
20,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"18,156",3,-,-,2016, ,-,-,-,,,181560000,14.147925,12832977.274052555,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
21,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"18,340",4,-,-,2016, ,-,-,-,,,183400000,14.147925,12963031.681324292,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
22,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"20,873",6,-,-,2016, ,-,-,-,,,208730000,14.147925,14753400.23360316,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
23,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"20,504",4,-,-,2016, ,-,-,-,,,205040000,14.147925,14492584.60162886,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
24,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"21,057",7,-,-,2016, ,-,-,-,,,210570000,14.147925,14883454.640874898,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
25,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"20,873",6,-,-,2016, ,-,-,-,,,208730000,14.147925,14753400.23360316,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
26,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,32.0,201612,22,"3,500",10,-,-,1992,중정로 123,-,-,-,,,35000000,9.68,3615702.479338843,2016,12,제주특별자치도 서귀포시 서귀동 중정로 123,2016-12-22
