,단지명,내용,주소,위도,경도
0,(1011-7),"[요약]
(1011-7) 오피스텔은 제주특별자치도 제주시 이도이동에 있으며, 최근 6개월간 10건의 거래가 있었고 평균 평당 가격은 6,007,400원입니다. 가장 최근 거래는 2025년 06월, 10.9평, 5350억 원에 체결되었습니다. 6개월 전 대비 약 21.3% 하락했습니다.

[거래내역]
- 2025년 06월 19일 | 10.9평 | 0.5억 원
- 2023년 11월 14일 | 9.3평 | 0.7억 원
- 2021년 06월 7일 | 9.3평 | 0.6억 원
- 2021년 05월 10일 | 9.3평 | 0.5억 원
- 2020년 03월 9일 | 9.3평 | 0.5억 원
- 2020년 01월 8일 | 10.9평 | 0.6억 원
- 2019년 11월 28일 | 10.9평 | 0.6억 원
- 2019년 09월 2일 | 10.9평 | 0.6억 원
- 2019년 03월 22일 | 9.3평 | 0.5억 원
- 2018년 01월 5일 | 9.3평 | 0.7억 원",제주특별자치도 제주시 이도이동 중앙로 270-2,33.4959339043187,126.53198035165
1,(1123-57),"[요약]
(1123-57) 오피스텔은 제주특별자치도 제주시 건입동에 있으며, 최근 6개월간 2건의 거래가 있었고 평균 평당 가격은 10,811,768원입니다. 가장 최근 거래는 2020년 10월, 21.2평, 23814억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2020년 10월 7일 | 21.2평 | 2.4억 원
- 2020년 10월 7일 | 21.2평 | 2.2억 원",제주특별자치도 제주시 건입동 만덕로6길 19,33.5134693332716,126.529910807787
2,(1166-6),"[요약]
(1166-6) 오피스텔은 제주특별자치도 제주시 이도이동에 있으며, 최근 6개월간 3건의 거래가 있었고 평균 평당 가격은 13,057,650원입니다. 가장 최근 거래는 2024년 01월, 8.8평, 10000억 원에 체결되었습니다. 6개월 전 대비 약 45.4% 하락했습니다.

[거래내역]
- 2024년 01월 24일 | 8.8평 | 1.0억 원
- 2021년 12월 18일 | 12.8평 | 1.8억 원
- 2021년 11월 3일 | 19.7평 | 2.6억 원",제주특별자치도 제주시 이도이동 동광로12길 13,33.5021304425608,126.535305001452
3,(133-29),"[요약]
(133-29) 오피스텔은 제주특별자치도 제주시 일도이동에 있으며, 최근 6개월간 26건의 거래가 있었고 평균 평당 가격은 12,016,454원입니다. 가장 최근 거래는 2024년 03월, 16.9평, 17000억 원에 체결되었습니다. 6개월 전 대비 약 15.0% 하락했습니다.

[거래내역]
- 2024년 03월 25일 | 16.9평 | 1.7억 원
- 2024년 01월 11일 | 15.7평 | 1.6억 원
- 2022년 12월 13일 | 16.9평 | 2.0억 원
- 2020년 12월 10일 | 15.7평 | 1.3억 원
- 2020년 09월 8일 | 19.6평 | 2.3억 원
- 2020년 02월 19일 | 19.6평 | 2.5억 원
- 2019년 09월 25일 | 16.9평 | 2.0억 원
- 2019년 09월 23일 | 16.9평 | 2.0억 원
- 2019년 09월 23일 | 19.6평 | 2.2억 원
- 2019년 09월 23일 | 16.9평 | 2.0억 원
- 2019년 09월 23일 | 16.9평 | 2.0억 원
- 2019년 09월 23일 | 16.9평 | 2.0억 원
- 2019년 09월 23일 | 16.9평 | 2.1억 원
- 2019년 09월 23일 | 15.7평 | 1.9억 원
- 2019년 09월 23일 | 16.9평 | 2.0억 원
- 2019년 09월 23일 | 16.9평 | 2.0억 원
- 2019년 08월 20일 | 19.6평 | 2.5억 원
- 2019년 06월 19일 | 16.9평 | 2.1억 원
- 2019년 06월 3일 | 16.9평 | 2.3억 원
- 2019년 04월 18일 | 16.9평 | 2.4억 원",제주특별자치도 제주시 일도이동 동문로 128-1,33.5135558671116,126.540187033276
4,(138-3),"[요약]
(138-3) 오피스텔은 제주특별자치도 제주시 애월읍 하귀1리에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 9,852,610원입니다. 가장 최근 거래는 2020년 07월, 21.3평, 21000억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2020년 07월 31일 | 21.3평 | 2.1억 원",제주특별자치도 제주시 애월읍 하귀1리 하귀7길 16,33.4857759634462,126.415819021506
5,(155-4),"[요약]
(155-4) 오피스텔은 제주특별자치도 서귀포시 강정동에 있으며, 최근 6개월간 5건의 거래가 있었고 평균 평당 가격은 21,373,889원입니다. 가장 최근 거래는 2022년 08월, 9.7평, 23000억 원에 체결되었습니다. 6개월 전 대비 약 0.0% 하락했습니다.

[거래내역]
- 2022년 08월 1일 | 9.7평 | 2.3억 원
- 2021년 12월 22일 | 9.7평 | 2.3억 원
- 2018년 07월 31일 | 18.5평 | 3.4억 원
- 2018년 07월 17일 | 14.6평 | 2.9억 원
- 2018년 02월 8일 | 9.7평 | 2.1억 원",제주특별자치도 서귀포시 강정동 신서귀로51번길 32,33.2546337846863,126.508059131902
6,(1570-3),"[요약]
(1570-3) 오피스텔은 제주특별자치도 제주시 삼양일동에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 8,496,706원입니다. 가장 최근 거래는 2023년 08월, 17.7평, 15000억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2023년 08월 30일 | 17.7평 | 1.5억 원",제주특별자치도 제주시 삼양일동 서흘4길 30,33.5300863514271,126.592048477254
7,(160-2),"[요약]
(160-2) 오피스텔은 제주특별자치도 제주시 일도이동에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 20,712,259원입니다. 가장 최근 거래는 2024년 01월, 14.2평, 29385억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2024년 01월 3일 | 14.2평 | 2.9억 원",제주특별자치도 제주시 일도이동 고마로11길 37,33.5116861447789,126.539143014259
8,(1949-3),"[요약]
(1949-3) 오피스텔은 제주특별자치도 제주시 애월읍 하귀2리에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 12,115,903원입니다. 가장 최근 거래는 2024년 05월, 25.6평, 31000억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2024년 05월 3일 | 25.6평 | 3.1억 원",제주특별자치도 제주시 애월읍 하귀2리 하소로 23,33.4776709216693,126.400183205846
9,(1954-3),"[요약]
(1954-3) 오피스텔은 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 16건의 거래가 있었고 평균 평당 가격은 12,661,475원입니다. 가장 최근 거래는 2023년 02월, 9.6평, 9000억 원에 체결되었습니다. 6개월 전 대비 약 65.1% 하락했습니다.

[거래내역]
- 2023년 02월 3일 | 9.6평 | 0.9억 원
- 2021년 03월 9일 | 25.7평 | 2.6억 원
- 2019년 12월 20일 | 9.6평 | 1.1억 원
- 2019년 10월 31일 | 9.6평 | 1.4억 원
- 2018년 01월 12일 | 9.6평 | 1.1억 원
- 2017년 09월 11일 | 9.6평 | 1.2억 원
- 2017년 09월 11일 | 9.6평 | 1.2억 원
- 2017년 09월 11일 | 9.6평 | 1.2억 원
- 2017년 08월 16일 | 9.6평 | 1.2억 원
- 2017년 02월 9일 | 9.6평 | 1.4억 원
- 2017년 01월 21일 | 25.7평 | 3.0억 원
- 2016년 10월 21일 | 9.6평 | 1.3억 원
- 2016년 10월 13일 | 9.6평 | 1.4억 원
- 2016년 09월 12일 | 9.6평 | 1.3억 원
- 2016년 08월 19일 | 9.6평 | 1.4억 원
- 2016년 08월 9일 | 9.6평 | 1.4억 원",제주특별자치도 제주시 연동 남녕로 34,33.4907192948257,126.48117599561
